,time_x,home_team,away_team,1_uni,X_uni,2_uni,b_y_uni,b_n_uni,dc_1x_uni,dc_12_uni,dc_2X_uni,1_888,X_888,2_888,b_y_888,b_n_888,dc_1x_888,dc_12_888,dc_2X_888,time_y,1_365,X_365,2_365,b_y_365,b_n_365,dc_1x_365,dc_12_365,dc_2X_365,1_best,X_best,2_best,b_y_best,b_n_best,dc_1x_best,dc_12_best,dc_2X_best,cum_prob,both_score_cum_prob,double_chance_cum_prob,best_bet,log_time
0,2020-11-28 13:00:00+00:00,Elche,Cadiz,3250.0,3000.0,2550.0,2180.0,1660.0,1550.0,1420.0,1360.0,3200.0,2900.0,2480.0,2180.0,1660.0,1550.0,1420.0,1360.0,2020-11-28 13:00:00+00:00,2900.0,3200.0,2450.0,2200.0,1610.0,1530.0,1360.0,1400.0,3.25,3.2,2.55,2.2,1.66,1.55,1.42,1.4,1.012349170437406,1.0569550930996714,2.063672356720971,1.012349170437406,2020-11-25 18:46:59.299516
1,2020-11-28 13:00:00+00:00,Elche,Cadiz,3250.0,3000.0,2550.0,2180.0,1660.0,1550.0,1420.0,1360.0,3200.0,2900.0,2480.0,2180.0,1660.0,1550.0,1420.0,1360.0,2020-11-28 13:00:00+00:00,2900.0,3200.0,2450.0,2200.0,1610.0,1530.0,1360.0,1400.0,3.25,3.2,2.55,2.2,1.66,1.55,1.42,1.4,1.012349170437406,1.0569550930996714,2.063672356720971,1.012349170437406,2020-11-25 18:46:59.299516
2,2020-11-28 13:00:00+00:00,Elche,Cadiz,3250.0,3000.0,2550.0,2180.0,1660.0,1550.0,1420.0,1360.0,3200.0,2900.0,2480.0,2180.0,1660.0,1550.0,1420.0,1360.0,2020-11-28 13:00:00+00:00,2900.0,3200.0,2450.0,2200.0,1610.0,1530.0,1360.0,1400.0,3.25,3.2,2.55,2.2,1.66,1.55,1.42,1.4,1.012349170437406,1.0569550930996714,2.063672356720971,1.012349170437406,2020-11-25 18:46:59.299516
3,2020-11-28 13:00:00+00:00,Elche,Cadiz,3250.0,3000.0,2550.0,2180.0,1660.0,1550.0,1420.0,1360.0,3200.0,2900.0,2480.0,2180.0,1660.0,1550.0,1420.0,1360.0,2020-11-28 13:00:00+00:00,2900.0,3200.0,2450.0,2200.0,1610.0,1530.0,1360.0,1400.0,3.25,3.2,2.55,2.2,1.66,1.55,1.42,1.4,1.012349170437406,1.0569550930996714,2.063672356720971,1.012349170437406,2020-11-25 18:46:59.299516
4,2020-11-28 13:00:00+00:00,Elche,Cadiz,3250.0,3000.0,2550.0,2180.0,1660.0,1550.0,1420.0,1360.0,3200.0,2900.0,2480.0,2180.0,1660.0,1550.0,1420.0,1360.0,2020-11-28 13:00:00+00:00,2900.0,3200.0,2450.0,2200.0,1610.0,1530.0,1360.0,1400.0,3.25,3.2,2.55,2.2,1.66,1.55,1.42,1.4,1.012349170437406,1.0569550930996714,2.063672356720971,1.012349170437406,2020-11-25 18:46:59.299516
5,2020-11-28 13:00:00+00:00,Elche,Cadiz,3250.0,3000.0,2550.0,2180.0,1660.0,1550.0,1420.0,1360.0,3200.0,2900.0,2480.0,2180.0,1660.0,1550.0,1420.0,1360.0,2020-11-28 13:00:00+00:00,2900.0,3200.0,2450.0,2200.0,1610.0,1530.0,1360.0,1400.0,3.25,3.2,2.55,2.2,1.66,1.55,1.42,1.4,1.012349170437406,1.0569550930996714,2.063672356720971,1.012349170437406,2020-11-25 18:57:28.100475
6,2020-11-28 13:00:00+00:00,Elche,Cadiz,3250.0,3000.0,2550.0,2180.0,1660.0,1550.0,1420.0,1360.0,3200.0,2900.0,2480.0,2180.0,1660.0,1550.0,1420.0,1360.0,2020-11-28 13:00:00+00:00,2900.0,3200.0,2450.0,2200.0,1610.0,1530.0,1360.0,1400.0,3.25,3.2,2.55,2.2,1.66,1.55,1.42,1.4,1.012349170437406,1.0569550930996714,2.063672356720971,1.012349170437406,2020-11-25 19:20:57.845556
92,2020-11-28 13:00:00+00:00,Elche,Cadiz,3250.0,3000.0,2550.0,2180.0,1660.0,1550.0,1420.0,1360.0,3200.0,2900.0,2480.0,2180.0,1660.0,1550.0,1420.0,1360.0,2020-11-28 13:00:00+00:00,2900.0,3200.0,2450.0,2200.0,1610.0,1530.0,1360.0,1400.0,3.25,3.2,2.55,2.2,1.66,1.55,1.42,1.4,1.012349170437406,1.0569550930996714,2.063672356720971,1.012349170437406,2020-11-25 19:22:27.247598
